"","trials","target","mean_acc","mean_dist","network","type"
"140",50000,20,0,8.33333333333333,"convolutional","train"
"141",50000,21,0,8.88888888888889,"convolutional","train"
"142",50000,22,0,9.5,"convolutional","train"
"143",50000,23,0,10.6666666666667,"convolutional","train"
"144",50000,24,0,12.6,"convolutional","train"
"145",60000,1,0,6.6,"convolutional","train"
"146",60000,2,0,6.76923076923077,"convolutional","train"
"147",60000,3,0,5.83673469387755,"convolutional","train"
"148",60000,4,0.0384615384615385,5.02564102564103,"convolutional","train"
"149",60000,5,0,4.06,"convolutional","train"
"150",60000,6,0.00909090909090909,3.54545454545455,"convolutional","train"
"151",60000,7,0.09375,2.86875,"convolutional","train"
"152",60000,8,0.177884615384615,2.24038461538462,"convolutional","train"
"153",60000,9,0.121212121212121,1.66666666666667,"convolutional","train"
"154",60000,10,0.254385964912281,1.38157894736842,"convolutional","train"
"155",60000,11,0.343096234309623,1.08786610878661,"convolutional","train"
"156",60000,12,0.296610169491525,1.27542372881356,"convolutional","train"
"157",60000,13,0.190217391304348,1.90760869565217,"convolutional","train"
"158",60000,14,0.0218978102189781,2.74452554744526,"convolutional","train"
"159",60000,15,0.0634920634920635,3.50793650793651,"convolutional","train"
"160",60000,16,0,4.31395348837209,"convolutional","train"
"161",60000,17,0.0161290322580645,5.45161290322581,"convolutional","train"
"162",60000,18,0,5.95238095238095,"convolutional","train"
"163",60000,19,0,6.96153846153846,"convolutional","train"
"164",60000,20,0,8.58333333333333,"convolutional","train"
"165",60000,21,0,8.77777777777778,"convolutional","train"
"166",60000,22,0,9.5,"convolutional","train"
"167",60000,23,0,11,"convolutional","train"
"168",60000,24,0,12.6,"convolutional","train"
"169",70000,1,0,5.6,"convolutional","train"
"170",70000,2,0,6.30769230769231,"convolutional","train"
"171",70000,3,0,5.08163265306122,"convolutional","train"
"172",70000,4,0.0256410256410256,4.73076923076923,"convolutional","train"
"173",70000,5,0,3.87,"convolutional","train"
"174",70000,6,0.0181818181818182,3.38181818181818,"convolutional","train"
"175",70000,7,0.0875,2.43125,"convolutional","train"
"176",70000,8,0.177884615384615,2.03846153846154,"convolutional","train"
"177",70000,9,0.297979797979798,1.5,"convolutional","train"
"178",70000,10,0.175438596491228,1.43421052631579,"convolutional","train"
"179",70000,11,0.309623430962343,1.10460251046025,"convolutional","train"
"180",70000,12,0.394067796610169,1.19067796610169,"convolutional","train"
"181",70000,13,0.108695652173913,1.83152173913043,"convolutional","train"
"182",70000,14,0.0072992700729927,2.90510948905109,"convolutional","train"
"183",70000,15,0.0714285714285714,3.3015873015873,"convolutional","train"
"184",70000,16,0,4.26744186046512,"convolutional","train"
"185",70000,17,0,5.35483870967742,"convolutional","train"
"186",70000,18,0,6.30952380952381,"convolutional","train"
"187",70000,19,0,6.96153846153846,"convolutional","train"
"188",70000,20,0,8.41666666666667,"convolutional","train"
"189",70000,21,0,8.66666666666667,"convolutional","train"
"190",70000,22,0,9.33333333333333,"convolutional","train"
"191",70000,23,0,10.3333333333333,"convolutional","train"
"192",70000,24,0,12.4,"convolutional","train"
"193",80000,1,0,3.8,"convolutional","train"
"194",80000,2,0,5.11538461538461,"convolutional","train"
"195",80000,3,0,4.75510204081633,"convolutional","train"
"196",80000,4,0.102564102564103,3.94871794871795,"convolutional","train"
"197",80000,5,0,3.71,"convolutional","train"
"198",80000,6,0.0454545454545455,2.93636363636364,"convolutional","train"
"199",80000,7,0.10625,2.24375,"convolutional","train"
"200",80000,8,0.201923076923077,1.88461538461538,"convolutional","train"
"201",80000,9,0.227272727272727,1.41414141414141,"convolutional","train"
"202",80000,10,0.315789473684211,1.29385964912281,"convolutional","train"
"203",80000,11,0.213389121338912,1.33054393305439,"convolutional","train"
"204",80000,12,0.266949152542373,1.53389830508475,"convolutional","train"
"205",80000,13,0.233695652173913,1.89673913043478,"convolutional","train"
"206",80000,14,0.0218978102189781,2.99270072992701,"convolutional","train"
"207",80000,15,0.0873015873015873,3.26190476190476,"convolutional","train"
"208",80000,16,0,4.09302325581395,"convolutional","train"
"209",80000,17,0,5.41935483870968,"convolutional","train"
"210",80000,18,0,6.16666666666667,"convolutional","train"
"211",80000,19,0,6.92307692307692,"convolutional","train"
"212",80000,20,0,8.25,"convolutional","train"
"213",80000,21,0,8.44444444444444,"convolutional","train"
"214",80000,22,0,9,"convolutional","train"
"215",80000,23,0,11,"convolutional","train"
"216",80000,24,0,12.2,"convolutional","train"
"217",90000,1,0,3,"convolutional","train"
"218",90000,2,0,4.69230769230769,"convolutional","train"
"219",90000,3,0,4.77551020408163,"convolutional","train"
"220",90000,4,0.153846153846154,3.73076923076923,"convolutional","train"
"221",90000,5,0,3.65,"convolutional","train"
"222",90000,6,0.00909090909090909,3.01818181818182,"convolutional","train"
"223",90000,7,0.1,2.1375,"convolutional","train"
"224",90000,8,0.230769230769231,1.76442307692308,"convolutional","train"
"225",90000,9,0.328282828282828,1.26767676767677,"convolutional","train"
"226",90000,10,0.263157894736842,1.2280701754386,"convolutional","train"
"227",90000,11,0.288702928870293,1.2092050209205,"convolutional","train"
"228",90000,12,0.309322033898305,1.36440677966102,"convolutional","train"
"229",90000,13,0.157608695652174,1.90760869565217,"convolutional","train"
"230",90000,14,0.0218978102189781,3.01459854014599,"convolutional","train"
"231",90000,15,0.0714285714285714,3.44444444444444,"convolutional","train"
"232",90000,16,0,4.34883720930233,"convolutional","train"
"233",90000,17,0,5.40322580645161,"convolutional","train"
"234",90000,18,0,6.73809523809524,"convolutional","train"
"235",90000,19,0,6.88461538461539,"convolutional","train"
"236",90000,20,0,8.33333333333333,"convolutional","train"
"237",90000,21,0,9.22222222222222,"convolutional","train"
"238",90000,22,0,9.16666666666667,"convolutional","train"
"239",90000,23,0,11,"convolutional","train"
"240",90000,24,0,12.2,"convolutional","train"
"241",100000,1,0,3.8,"convolutional","train"
"242",100000,2,0,4.80769230769231,"convolutional","train"
"243",100000,3,0,4.44897959183673,"convolutional","train"
"244",100000,4,0.0897435897435897,3.52564102564103,"convolutional","train"
"245",100000,5,0,3.14,"convolutional","train"
"246",100000,6,0.0363636363636364,2.70909090909091,"convolutional","train"
"247",100000,7,0.2125,1.90625,"convolutional","train"
"248",100000,8,0.245192307692308,1.86538461538462,"convolutional","train"
"249",100000,9,0.242424242424242,1.44444444444444,"convolutional","train"
"250",100000,10,0.236842105263158,1.46491228070175,"convolutional","train"
"251",100000,11,0.209205020920502,1.35564853556485,"convolutional","train"
"252",100000,12,0.415254237288136,1.25847457627119,"convolutional","train"
"253",100000,13,0.21195652173913,1.60869565217391,"convolutional","train"
"254",100000,14,0.0145985401459854,2.58394160583942,"convolutional","train"
"255",100000,15,0.0952380952380952,3.04761904761905,"convolutional","train"
"256",100000,16,0,4.23255813953488,"convolutional","train"
"257",100000,17,0,5.04838709677419,"convolutional","train"
"258",100000,18,0,6.09523809523809,"convolutional","train"
"259",100000,19,0,6.80769230769231,"convolutional","train"
"260",100000,20,0,7.83333333333333,"convolutional","train"
"261",100000,21,0,8.44444444444444,"convolutional","train"
"262",100000,22,0,9.16666666666667,"convolutional","train"
"263",100000,23,0,10.3333333333333,"convolutional","train"
"264",100000,24,0,12.2,"convolutional","train"
"265",110000,1,0,3,"convolutional","train"
